Datetime,Actual,Predicted,Feature_Set,Input_Steps,Period,train_start,train_end,test_start,test_end
2024-01-01 00:00:00,99.05,110.74448,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 01:00:00,107.090004,103.64272,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 02:00:00,104.0,100.54939,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 03:00:00,100.0,97.1925,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 04:00:00,85.66,92.55065,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 05:00:00,85.0,95.045944,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 06:00:00,85.53001,112.76039,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 07:00:00,95.07001,122.049934,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 08:00:00,103.07,136.2867,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 09:00:00,65.0,137.89417,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 10:00:00,47.339996,126.64667,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 11:00:00,1.0000001,114.71452,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 12:00:00,0.54,106.12433,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 13:00:00,2.24,101.28584,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 14:00:00,3.24,95.782135,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 15:00:00,65.100006,116.72573,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 16:00:00,96.91,130.28413,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 17:00:00,97.44,140.0467,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 18:00:00,94.00001,143.40102,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 19:00:00,98.58,140.55171,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 20:00:00,101.03001,140.26709,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 21:00:00,105.72,138.18848,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 22:00:00,101.060005,127.397125,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-01 23:00:00,103.19,120.49438,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 00:00:00,92.409996,88.901474,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 01:00:00,55.0,64.707306,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 02:00:00,90.090004,64.265274,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 03:00:00,84.270004,69.52844,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 04:00:00,40.82,71.798225,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 05:00:00,84.270004,78.964294,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 06:00:00,100.0,85.664024,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 07:00:00,108.28001,91.67762,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 08:00:00,113.850006,98.55577,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 09:00:00,107.420006,82.17663,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 10:00:00,76.36,57.45874,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 11:00:00,75.600006,36.502644,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 12:00:00,77.87,27.503471,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 13:00:00,80.270004,21.868147,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 14:00:00,81.270004,20.895962,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 15:00:00,95.12,57.798344,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 16:00:00,102.56,84.681335,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 17:00:00,102.380005,99.93955,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 18:00:00,103.32,97.88608,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 19:00:00,103.58,99.8854,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 20:00:00,106.060005,105.64475,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 21:00:00,104.96,109.01592,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 22:00:00,102.200005,103.22394,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-02 23:00:00,101.97,103.54029,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 00:00:00,82.590004,100.1288,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 01:00:00,82.5,77.078735,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 02:00:00,70.1,84.67613,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 03:00:00,50.21,87.00898,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 04:00:00,40.0,79.73002,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 05:00:00,50.0,91.76146,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 06:00:00,75.0,105.85735,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 07:00:00,95.46,121.27862,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 08:00:00,107.15,128.99126,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 09:00:00,101.01,116.578415,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 10:00:00,65.0,96.41103,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 11:00:00,99.15,82.81182,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2024-01-03 12:00:00,87.25,80.578415,LSTM_ME70,168,Jan2024 start_train_22,2022-01-31,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
