,Datetime,Actual,Predicted,Feature_Set,Input_Steps,Period,train_start,train_end,test_start,test_end
0,2024-01-01 00:00:00,106.12,106.55152,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
1,2024-01-01 01:00:00,107.09,98.79441,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
2,2024-01-01 02:00:00,104.0,94.02459,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
3,2024-01-01 03:00:00,100.00001,88.72223,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
4,2024-01-01 04:00:00,85.66,85.606064,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
5,2024-01-01 05:00:00,85.0,88.61926,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
6,2024-01-01 06:00:00,85.53,99.26386,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
7,2024-01-01 07:00:00,95.07,108.109566,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
8,2024-01-01 08:00:00,103.07001,120.54234,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
9,2024-01-01 09:00:00,65.0,119.75418,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
10,2024-01-01 10:00:00,47.34,112.42398,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
11,2024-01-01 11:00:00,1.0,103.00139,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
12,2024-01-01 12:00:00,0.54,97.11356,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
13,2024-01-01 13:00:00,2.24,95.27207,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
14,2024-01-01 14:00:00,3.2400002,91.68616,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
15,2024-01-01 15:00:00,65.1,109.570816,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
16,2024-01-01 16:00:00,96.91,120.26907,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
17,2024-01-01 17:00:00,97.44,134.40805,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
18,2024-01-01 18:00:00,94.0,139.79286,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
19,2024-01-01 19:00:00,98.579994,142.01378,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
20,2024-01-01 20:00:00,101.03001,140.00307,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
21,2024-01-01 21:00:00,105.72,136.67609,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
22,2024-01-01 22:00:00,101.06,125.828995,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
23,2024-01-01 23:00:00,103.19,116.193405,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
24,2024-01-02 00:00:00,99.049995,96.6315,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
25,2024-01-02 01:00:00,55.0,93.10235,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
26,2024-01-02 02:00:00,90.09,89.426025,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
27,2024-01-02 03:00:00,84.27,86.01756,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
28,2024-01-02 04:00:00,40.82,80.74127,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
29,2024-01-02 05:00:00,84.27,81.35125,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
30,2024-01-02 06:00:00,100.00001,86.128075,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
31,2024-01-02 07:00:00,108.28,93.96382,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
32,2024-01-02 08:00:00,113.85,97.78285,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
33,2024-01-02 09:00:00,107.42,82.41774,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
34,2024-01-02 10:00:00,76.36,58.795326,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
35,2024-01-02 11:00:00,75.6,42.29694,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
36,2024-01-02 12:00:00,77.869995,35.82845,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
37,2024-01-02 13:00:00,80.27,33.50546,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
38,2024-01-02 14:00:00,81.27,33.77369,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
39,2024-01-02 15:00:00,95.12,65.790344,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
40,2024-01-02 16:00:00,102.56,91.02301,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
41,2024-01-02 17:00:00,102.38,108.57724,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
42,2024-01-02 18:00:00,103.31999,108.974655,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
43,2024-01-02 19:00:00,103.58,114.05462,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
44,2024-01-02 20:00:00,106.06,116.811325,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
45,2024-01-02 21:00:00,104.96,119.68594,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
46,2024-01-02 22:00:00,102.200005,112.209656,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
47,2024-01-02 23:00:00,101.97,108.05793,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
48,2024-01-03 00:00:00,92.41,101.852264,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
49,2024-01-03 01:00:00,82.5,87.78895,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
50,2024-01-03 02:00:00,70.1,92.67041,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
51,2024-01-03 03:00:00,50.209995,91.56826,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
52,2024-01-03 04:00:00,40.0,81.81512,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
53,2024-01-03 05:00:00,50.000004,91.98464,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
54,2024-01-03 06:00:00,75.0,101.57437,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
55,2024-01-03 07:00:00,95.46,113.70368,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
56,2024-01-03 08:00:00,107.15,116.71614,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
57,2024-01-03 09:00:00,101.01,106.26702,LSTM_ME41,24,Jan2024,2023-05-01,2023-12-31 23:00:00,2024-01-01,2024-01-31 23:00:00
