,Period,Feature_Set,Input_Steps,Train_Start,Train_End,Test_Start,Test_End,MAE,MSE,RMSE,SMAPE,R2
6,Jul2023,LSTM_ME41,24,2022-11-01,2023-06-30 23:00:00,2023-07-01,2023-07-31 23:00:00,15.382080078125,415.7872619628906,20.39086221725042,15.550076961517334,0.6230535507202148
8,Sep2023,LSTM_ME41,24,2023-01-01,2023-08-31 23:00:00,2023-09-01,2023-09-30 23:00:00,15.517681121826172,487.0217590332031,22.068569483163223,19.01056319475174,0.6549718379974365
11,Dec2023,LSTM_ME41,24,2023-04-01,2023-11-30 23:00:00,2023-12-01,2023-12-31 23:00:00,17.485374450683594,601.4421997070312,24.52431853705687,21.121858060359955,0.3480914831161499
5,Jun2023,LSTM_ME41,24,2022-10-01,2023-05-31 23:00:00,2023-06-01,2023-06-30 23:00:00,18.017396926879883,599.6424560546875,24.487598005004237,24.990950524806976,0.4223921298980713
4,May2023,LSTM_ME41,24,2022-09-01,2023-04-30 23:00:00,2023-05-01,2023-05-31 23:00:00,18.305856704711914,595.9522094726562,24.412132423708016,23.56562465429306,0.48459291458129883
7,Aug2023,LSTM_ME41,24,2022-12-01,2023-07-31 23:00:00,2023-08-01,2023-08-31 23:00:00,19.585641860961914,954.7594604492188,30.899182197094127,21.104350686073303,0.6229002475738525
1,Feb2023,LSTM_ME41,24,2022-06-01,2023-01-31 23:00:00,2023-02-01,2023-02-28 23:00:00,21.195207595825195,790.3214721679688,28.1126567966809,15.44145792722702,0.406699001789093
3,Apr2023,LSTM_ME41,24,2022-08-01,2023-03-31 23:00:00,2023-04-01,2023-04-30 23:00:00,21.798843383789062,854.337158203125,29.22904648125089,21.15573137998581,0.3085700273513794
9,Oct2023,LSTM_ME41,24,2023-02-01,2023-09-30 23:00:00,2023-10-01,2023-10-31 23:00:00,24.28272247314453,1076.5499267578125,32.8108202695058,25.778672099113464,0.4842303395271301
2,Mar2023,LSTM_ME41,24,2022-07-01,2023-02-28 23:00:00,2023-03-01,2023-03-31 23:00:00,25.36789894104004,1093.1846923828125,33.06334363585771,23.911212384700775,0.26083904504776
10,Nov2023,LSTM_ME41,24,2023-03-01,2023-10-31 23:00:00,2023-11-01,2023-11-30 23:00:00,27.688074111938477,1342.891845703125,36.64548874968275,34.199270606040955,0.3763216733932495
0,Jan2023,LSTM_ME41,24,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00,41.80714797973633,2935.2470703125,54.1779205056128,27.545464038848877,0.43477654457092285
