,Datetime,Actual,Predicted,Feature_Set,Input_Steps,Period,train_start,train_end,test_start,test_end
0,2023-01-01 00:00:00,230.59,259.80045,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
1,2023-01-01 01:00:00,230.9,260.06433,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
2,2023-01-01 02:00:00,268.19,259.23312,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
3,2023-01-01 03:00:00,229.58,246.40656,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
4,2023-01-01 04:00:00,235.98001,237.89444,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
5,2023-01-01 05:00:00,234.28,233.58134,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
6,2023-01-01 06:00:00,237.63,243.24568,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
7,2023-01-01 07:00:00,239.66002,250.04259,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
8,2023-01-01 08:00:00,231.87999,257.78897,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
9,2023-01-01 09:00:00,186.47,229.61021,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
10,2023-01-01 10:00:00,186.47,208.27965,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
11,2023-01-01 11:00:00,177.25,197.4588,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
12,2023-01-01 12:00:00,168.49998,188.66202,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
13,2023-01-01 13:00:00,84.9,183.9612,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
14,2023-01-01 14:00:00,81.95,166.2408,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
15,2023-01-01 15:00:00,179.73,178.86238,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
16,2023-01-01 16:00:00,295.0,227.95451,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
17,2023-01-01 17:00:00,348.15,279.8822,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
18,2023-01-01 18:00:00,322.34,315.08344,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
19,2023-01-01 19:00:00,301.65002,332.51233,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
20,2023-01-01 20:00:00,353.15,352.10257,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
21,2023-01-01 21:00:00,363.15,353.80978,LSTM_ME41,24,Jan2023,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00
