,FeatureSet,Model,Scaler,WindowSize,TestDate,MAE,MSE,RMSE,sMAPE,R2
0,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-01,36.28068246527777,1853.6857929118241,43.05445148775936,17.532466727364458,0.640375139896756
1,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-01,36.28068246527777,1853.6857929118241,,,0.640375139896756
2,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-02,30.24605917658731,1471.345746768032,38.3581249120448,11.45782019094402,0.7117604417193986
3,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-02,30.24605917658731,1471.345746768032,,,0.7117604417193986
4,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-03,38.25394987599204,2412.61646969715,49.1183923769615,14.77783105828345,0.5602938186488942
5,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-03,38.25394987599204,2412.61646969715,,,0.5602938186488942
6,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-04,38.86588008432542,2315.7994662999504,48.12275414292027,17.978914618879028,0.4201094228497054
7,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-04,38.86588008432542,2315.7994662999504,,,0.4201094228497054
8,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-05,48.21576574900795,3396.2367856232936,58.277240717309994,22.13198189435732,0.2743807191575953
9,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-05,48.21576574900795,3396.2367856232936,,,0.2743807191575953
10,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-06,47.44187207341272,2943.859347433932,54.25734371892833,21.62213692790882,0.10096141640220391
11,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-06,47.44187207341272,2943.859347433932,,,0.10096141640220391
12,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-07,26.72701684027778,1452.974938315271,38.11790836752813,10.883523443551441,0.6354464601058062
13,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-07,26.72701684027778,1452.974938315271,,,0.6354464601058062
14,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-08,30.787530481150807,1377.5311688315196,37.11510701630159,14.020880149182194,0.6213874140320719
15,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-08,30.787530481150807,1377.5311688315196,,,0.6213874140320719
16,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-09,59.92829255952384,5609.3210214768305,74.89540053619335,28.449855834856457,-0.3860379196610231
17,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-09,59.92829255952384,5609.3210214768305,,,-0.3860379196610231
18,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-10,72.02938668154762,7200.8121121026425,84.85759902390971,40.31356263986073,-2.67715125294839
19,RegEx_59,Random Forest,MinMaxScaler,7,2023-01-10,72.02938668154762,7200.8121121026425,,,-2.67715125294839
