,feature_set,forecast_date,Hour,Actual,Predicted,model,scaler,window_size,Datetime
0,LSTM_ME41,2024-01-01,0,106.12,118.356285,XGBoost,MinMaxScaler,7,2024-01-01 00:00:00
1,LSTM_ME41,2024-01-01,1,107.09,108.31172,XGBoost,MinMaxScaler,7,2024-01-01 01:00:00
2,LSTM_ME41,2024-01-01,2,104.0,106.307556,XGBoost,MinMaxScaler,7,2024-01-01 02:00:00
3,LSTM_ME41,2024-01-01,3,100.0,102.88248,XGBoost,MinMaxScaler,7,2024-01-01 03:00:00
4,LSTM_ME41,2024-01-01,4,85.66,99.77154,XGBoost,MinMaxScaler,7,2024-01-01 04:00:00
5,LSTM_ME41,2024-01-01,5,85.0,98.50648,XGBoost,MinMaxScaler,7,2024-01-01 05:00:00
6,LSTM_ME41,2024-01-01,6,85.53,105.11698,XGBoost,MinMaxScaler,7,2024-01-01 06:00:00
7,LSTM_ME41,2024-01-01,7,95.07,105.873764,XGBoost,MinMaxScaler,7,2024-01-01 07:00:00
8,LSTM_ME41,2024-01-01,8,103.07,109.31704,XGBoost,MinMaxScaler,7,2024-01-01 08:00:00
9,LSTM_ME41,2024-01-01,9,65.0,107.55123,XGBoost,MinMaxScaler,7,2024-01-01 09:00:00
10,LSTM_ME41,2024-01-01,10,47.34,31.550854,XGBoost,MinMaxScaler,7,2024-01-01 10:00:00
11,LSTM_ME41,2024-01-01,11,1.0,23.175955,XGBoost,MinMaxScaler,7,2024-01-01 11:00:00
12,LSTM_ME41,2024-01-01,12,0.54,10.168544,XGBoost,MinMaxScaler,7,2024-01-01 12:00:00
13,LSTM_ME41,2024-01-01,13,2.24,60.1304,XGBoost,MinMaxScaler,7,2024-01-01 13:00:00
14,LSTM_ME41,2024-01-01,14,3.24,78.037605,XGBoost,MinMaxScaler,7,2024-01-01 14:00:00
15,LSTM_ME41,2024-01-01,15,65.1,104.665886,XGBoost,MinMaxScaler,7,2024-01-01 15:00:00
16,LSTM_ME41,2024-01-01,16,96.91,107.529366,XGBoost,MinMaxScaler,7,2024-01-01 16:00:00
17,LSTM_ME41,2024-01-01,17,97.44,116.39077,XGBoost,MinMaxScaler,7,2024-01-01 17:00:00
18,LSTM_ME41,2024-01-01,18,94.0,109.21033,XGBoost,MinMaxScaler,7,2024-01-01 18:00:00
19,LSTM_ME41,2024-01-01,19,98.58,125.06578,XGBoost,MinMaxScaler,7,2024-01-01 19:00:00
20,LSTM_ME41,2024-01-01,20,101.03,116.45052,XGBoost,MinMaxScaler,7,2024-01-01 20:00:00
21,LSTM_ME41,2024-01-01,21,105.72,120.257576,XGBoost,MinMaxScaler,7,2024-01-01 21:00:00
22,LSTM_ME41,2024-01-01,22,101.06,107.963326,XGBoost,MinMaxScaler,7,2024-01-01 22:00:00
23,LSTM_ME41,2024-01-01,23,103.19,113.098885,XGBoost,MinMaxScaler,7,2024-01-01 23:00:00
24,LSTM_ME41,2024-01-02,0,99.05,106.62681,XGBoost,MinMaxScaler,7,2024-01-02 00:00:00
25,LSTM_ME41,2024-01-02,1,55.0,103.60198,XGBoost,MinMaxScaler,7,2024-01-02 01:00:00
26,LSTM_ME41,2024-01-02,2,90.09,103.80797,XGBoost,MinMaxScaler,7,2024-01-02 02:00:00
27,LSTM_ME41,2024-01-02,3,84.27,98.717735,XGBoost,MinMaxScaler,7,2024-01-02 03:00:00
28,LSTM_ME41,2024-01-02,4,40.82,94.00391,XGBoost,MinMaxScaler,7,2024-01-02 04:00:00
29,LSTM_ME41,2024-01-02,5,84.27,91.99831,XGBoost,MinMaxScaler,7,2024-01-02 05:00:00
30,LSTM_ME41,2024-01-02,6,100.0,87.87545,XGBoost,MinMaxScaler,7,2024-01-02 06:00:00
31,LSTM_ME41,2024-01-02,7,108.28,101.19754,XGBoost,MinMaxScaler,7,2024-01-02 07:00:00
32,LSTM_ME41,2024-01-02,8,113.85,104.41637,XGBoost,MinMaxScaler,7,2024-01-02 08:00:00
33,LSTM_ME41,2024-01-02,9,107.42,73.40112,XGBoost,MinMaxScaler,7,2024-01-02 09:00:00
34,LSTM_ME41,2024-01-02,10,76.36,51.79715,XGBoost,MinMaxScaler,7,2024-01-02 10:00:00
35,LSTM_ME41,2024-01-02,11,75.6,11.025227,XGBoost,MinMaxScaler,7,2024-01-02 11:00:00
36,LSTM_ME41,2024-01-02,12,77.87,10.295316,XGBoost,MinMaxScaler,7,2024-01-02 12:00:00
37,LSTM_ME41,2024-01-02,13,80.27,12.043212,XGBoost,MinMaxScaler,7,2024-01-02 13:00:00
38,LSTM_ME41,2024-01-02,14,81.27,22.157349,XGBoost,MinMaxScaler,7,2024-01-02 14:00:00
39,LSTM_ME41,2024-01-02,15,95.12,69.01593,XGBoost,MinMaxScaler,7,2024-01-02 15:00:00
40,LSTM_ME41,2024-01-02,16,102.56,97.50011,XGBoost,MinMaxScaler,7,2024-01-02 16:00:00
41,LSTM_ME41,2024-01-02,17,102.38,100.1767,XGBoost,MinMaxScaler,7,2024-01-02 17:00:00
42,LSTM_ME41,2024-01-02,18,103.32,102.671875,XGBoost,MinMaxScaler,7,2024-01-02 18:00:00
43,LSTM_ME41,2024-01-02,19,103.58,105.867714,XGBoost,MinMaxScaler,7,2024-01-02 19:00:00
44,LSTM_ME41,2024-01-02,20,106.06,103.00078,XGBoost,MinMaxScaler,7,2024-01-02 20:00:00
45,LSTM_ME41,2024-01-02,21,104.96,117.574776,XGBoost,MinMaxScaler,7,2024-01-02 21:00:00
