,FeatureSet,EncoderLength,Period,Learning_Rate,Batch_Size,Dropout,MAE,MSE,RMSE,SMAPE,R2
15,M34,168,Feb2024_1year_train,0.001,128,0.6,10.605192443983896,218.183754084398,14.771044447986675,17.970695462325732,0.42698427455673404
51,M55,168,Feb2024_1year_train,0.001,128,0.6,11.81821058727446,252.42970817060967,15.888036636746834,19.58366186009571,0.3370441673908422
3,M29,168,Feb2024_1year_train,0.001,128,0.6,12.08927910153828,272.7884471489496,16.51630852063952,18.822901349807804,0.28357603621059413
43,M53,168,Mar2024_1year_train,0.001,128,0.6,13.960674321962442,345.0521570551584,18.5755795886739,31.21253552995601,0.5256247791872104
55,M55,168,Mar2024_1year_train,0.001,128,0.6,14.681707352175229,378.1678137568232,19.446537320480044,32.80154061142594,0.48009761281826757
40,M53,168,Jan2024_1year_train,0.001,128,0.6,14.983783009294152,344.503533257711,18.5608063741237,16.688778203334834,0.33913017135981083
56,M55,168,May2024_1year_train,0.001,128,0.6,15.109409128548442,409.5654082103421,20.237722406692463,27.35757707080741,0.6502569062169599
44,M53,168,May2024_1year_train,0.001,128,0.6,15.693401424988455,424.5733996460829,20.605178952051908,27.279353185919707,0.6374410256494545
32,M4,168,May2024_1year_train,0.001,128,0.6,18.613913463233175,568.9044814428524,23.851718626607443,29.84010894788975,0.5141913613352003
27,M4,168,Feb2024_1year_train,0.001,128,0.6,20.1832992055681,595.4924939448522,24.402714888816206,28.450354287076905,-0.5639412056400661
4,M29,168,Jan2024_1year_train,0.001,128,0.6,20.46020846629488,588.0455697929698,24.24965092105389,23.478186963967953,-0.1280626682310051
68,M61,168,May2024_1year_train,0.001,128,0.6,20.632284766522005,585.8030826696062,24.20336924210359,34.56686265319806,0.4997610189401329
52,M55,168,Jan2024_1year_train,0.001,128,0.6,21.086531280296434,643.3080200135227,25.363517500802658,21.69859752965668,-0.23407402219924878
42,M53,168,Jun2024_1year_train,0.001,128,0.6,21.18915989933592,852.2633557954567,29.193549900542358,23.269963076749907,0.6140390566689256
66,M61,168,Jun2024_1year_train,0.001,128,0.6,21.38794475056908,932.74071863067,30.540804158218723,24.439555696365794,0.5775936097710177
6,M29,168,Jun2024_1year_train,0.001,128,0.6,21.580320349895594,948.3616934544069,30.79548170518537,23.977665315436397,0.5705194042009645
7,M29,168,Mar2024_1year_train,0.001,128,0.6,21.804602675783464,822.8746850346276,28.68579238986833,37.86644309135389,-0.13128219149824494
67,M61,168,Mar2024_1year_train,0.001,128,0.6,21.81334751488506,773.9310518471334,27.81961631380155,38.15863201162484,-0.06399483703320308
31,M4,168,Mar2024_1year_train,0.001,128,0.6,22.09291221756866,813.9915916857757,28.530537879363152,38.37206229789027,-0.11906977872903957
20,M34,168,May2024_1year_train,0.001,128,0.6,22.193927945922248,700.007754252042,26.45765965182941,38.87557075250672,0.40223741376495226
30,M4,168,Jun2024_1year_train,0.001,128,0.6,22.209500091148147,1048.1130042342231,32.374573421656436,24.660850474482356,0.5253454450658153
